date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:02	1441/1441	---M--	404	error ('Not%20Found')	text/html	etag:%225a1-5a966815d546a%22	http://siliconmadeacademy.com/robots.txt		(from )
15:21:02	51599/51599	---M-Z	200	added ('OK')	text/html	etag:%22c98f-5f496896ff2ca-gzip%22	http://siliconmadeacademy.com/	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/index.html	(from )
15:21:03	4561/4561	---M--	200	added ('OK')	text/css	etag:%2262a260c8-11d1%22	http://siliconmadeacademy.com/plugins/lazyframe.css	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/plugins/lazyframe.css	(from http://siliconmadeacademy.com/)
15:21:03	4971/4971	---M--	200	added ('OK')	text/css	etag:%2262bb386a-136b%22	http://siliconmadeacademy.com/plugins/owl.carousel.min.css	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/plugins/owl.carousel.min.css	(from http://siliconmadeacademy.com/)
15:21:04	21529/21529	---M--	200	added ('OK')	text/css	etag:%2262bab4e8-5419%22	http://siliconmadeacademy.com/css/theme.min.css?d=090920220238	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/css/theme.min686d.css	(from http://siliconmadeacademy.com/)
15:21:04	193529/193529	---M-Z	200	added ('OK')	text/css	etag:W/%222f3f9-YnOsGiPXmhIvAi9qh8W3XCz6/Do%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.0-beta1/dist/css/bootstrap.min.css	C:/Users/hp/Downloads/slcnmdac/cdn.jsdelivr.net/npm/bootstrap@5.2.0-beta1/dist/css/bootstrap.min.css	(from http://siliconmadeacademy.com/)
15:21:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2019%20Feb%202023%2012:21:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/hp/Downloads/slcnmdac/www.googletagmanager.com/gtm.45445.delayed	(from http://siliconmadeacademy.com/)
15:21:05	51599/51599	---M--	200	added ('OK')	text/html	etag:%2263ea57bf-c98f%22	http://siliconmadeacademy.com/index.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/index-2.html	(from http://siliconmadeacademy.com/)
15:21:05	108696/108696	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2019%20Feb%202023%2012:21:07%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/hp/Downloads/slcnmdac/connect.facebook.net/en_US/fbevents.js	(from http://siliconmadeacademy.com/)
15:21:07	15497/15497	---M--	200	added ('OK')	image/png	etag:%2262a260b4-3c89%22	http://siliconmadeacademy.com/img/logo.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/logo.png	(from http://siliconmadeacademy.com/)
15:21:07	25298/25298	---M--	200	added ('OK')	text/html	etag:%2263e26b18-62d2%22	http://siliconmadeacademy.com/neden-variz.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/neden-variz.html	(from http://siliconmadeacademy.com/)
15:21:07	26267/26267	---M--	200	added ('OK')	text/html	etag:%2263e26b19-669b%22	http://siliconmadeacademy.com/network.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/network.html	(from http://siliconmadeacademy.com/)
15:21:09	25765/25765	---M--	200	added ('OK')	text/html	etag:%2263e26b0d-64a5%22	http://siliconmadeacademy.com/egitim-yolculugu.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/egitim-yolculugu.html	(from http://siliconmadeacademy.com/)
15:21:10	23350/23350	---M--	200	added ('OK')	text/html	etag:%2263e26b0a-5b36%22	http://siliconmadeacademy.com/diger-egitimler.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/diger-egitimler.html	(from http://siliconmadeacademy.com/)
15:21:11	57718/57718	---M--	200	added ('OK')	text/html	etag:%2263e26b0f-e176%22	http://siliconmadeacademy.com/faq.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/faq.html	(from http://siliconmadeacademy.com/)
15:21:13	40870/40870	---M--	200	added ('OK')	text/html	etag:%2263e26b0b-9fa6%22	http://siliconmadeacademy.com/duyurular.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/duyurular.html	(from http://siliconmadeacademy.com/)
15:21:15	31819/31819	---M--	200	added ('OK')	text/html	etag:%2263e26b11-7c4b%22	http://siliconmadeacademy.com/goldenmade-egitim-programi.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/goldenmade-egitim-programi.html	(from http://siliconmadeacademy.com/)
15:21:17	39975/39975	---M--	200	added ('OK')	text/html	etag:%2263e26b1b-9c27%22	http://siliconmadeacademy.com/platinummade-egitim-programi-mvc.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/platinummade-egitim-programi-mvc.html	(from http://siliconmadeacademy.com/)
15:21:20	18393/18393	---M--	200	added ('OK')	image/png	etag:%2262a260bd-47d9%22	http://siliconmadeacademy.com/img/t1.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/t1.png	(from http://siliconmadeacademy.com/)
15:21:21	23017/23017	---M--	200	added ('OK')	image/png	etag:%2262a260bf-59e9%22	http://siliconmadeacademy.com/img/t3.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/t3.png	(from http://siliconmadeacademy.com/)
15:21:21	38854/38854	---M--	200	added ('OK')	text/html	etag:%2263e26b1f-97c6%22	http://siliconmadeacademy.com/siliconhead-lider-yazilim-uzmanligi.html	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/siliconhead-lider-yazilim-uzmanligi.html	(from http://siliconmadeacademy.com/)
